mpg,cylinders,engine,horsepower,weight,acceleration,year,origin,name
18,8,307,130,3504,12,70,American,chevrolet chevelle malibu
15,8,350,165,3693,11.5,70,American,buick skylark 320
18,8,318,150,3436,11,70,American,plymouth satellite
16,8,304,150,3433,12,70,American,amc rebel sst
17,8,302,140,3449,10.5,70,American,ford torino
15,8,429,198,4341,10,70,American,ford galaxie 500
14,8,454,220,4354,9,70,American,chevrolet impala
14,8,440,215,4312,8.5,70,American,plymouth fury iii
14,8,455,225,4425,10,70,American,pontiac catalina
15,8,390,190,3850,8.5,70,American,amc ambassador dpl
nan,8,350,165,4142,11.5,70,American,chevrolet chevelle concours (sw)
nan,8,351,153,4034,11,70,American,ford torino (sw)
nan,8,383,175,4166,10.5,70,American,plymouth satellite (sw)
nan,8,360,175,3850,11,70,American,amc rebel sst (sw)
15,8,383,170,3563,10,70,American,dodge challenger se
14,8,340,160,3609,8,70,American,plymouth cuda 340
nan,8,302,140,3353,8,70,American,ford mustang boss 302
15,8,400,150,3761,9.5,70,American,chevrolet monte carlo
14,8,455,225,3086,10,70,American,buick estate wagon (sw)
22,6,198,95,2833,15.5,70,American,plymouth duster
18,6,199,97,2774,15.5,70,American,amc hornet
21,6,200,85,2587,16,70,American,ford maverick
21,6,199,90,2648,15,70,American,amc gremlin
10,8,360,215,4615,14,70,American,ford f250
10,8,307,200,4376,15,70,American,chevy c20
11,8,318,210,4382,13.5,70,American,dodge d200
9,8,304,193,4732,18.5,70,American,hi 1200d
28,4,140,90,2264,15.5,71,American,chevrolet vega 2300
25,4,98,nan,2046,19,71,American,ford pinto
19,6,232,100,2634,13,71,American,amc gremlin
16,6,225,105,3439,15.5,71,American,plymouth satellite custom
17,6,250,100,3329,15.5,71,American,chevrolet chevelle malibu
19,6,250,88,3302,15.5,71,American,ford torino 500
18,6,232,100,3288,15.5,71,American,amc matador
14,8,350,165,4209,12,71,American,chevrolet impala
14,8,400,175,4464,11.5,71,American,pontiac catalina brougham
14,8,351,153,4154,13.5,71,American,ford galaxie 500
14,8,318,150,4096,13,71,American,plymouth fury iii
12,8,383,180,4955,11.5,71,American,dodge monaco (sw)
13,8,400,170,4746,12,71,American,ford country squire (sw)
13,8,400,175,5140,12,71,American,pontiac safari (sw)
18,6,258,110,2962,13.5,71,American,amc hornet sportabout (sw)
22,4,140,72,2408,19,71,American,chevrolet vega (sw)
19,6,250,100,3282,15,71,American,pontiac firebird
18,6,250,88,3139,14.5,71,American,ford mustang
23,4,122,86,2220,14,71,American,mercury capri 2000
26,4,91,70,1955,20.5,71,American,plymouth cricket
25,4,97.5,80,2126,17,72,American,dodge colt hardtop
20,4,140,90,2408,19.5,72,American,chevrolet vega
21,4,122,86,2226,16.5,72,American,ford pinto runabout
13,8,350,165,4274,12,72,American,chevrolet impala
14,8,400,175,4385,12,72,American,pontiac catalina
15,8,318,150,4135,13.5,72,American,plymouth fury iii
14,8,351,153,4129,13,72,American,ford galaxie 500
17,8,304,150,3672,11.5,72,American,amc ambassador sst
11,8,429,208,4633,11,72,American,mercury marquis
13,8,350,155,4502,13.5,72,American,buick lesabre custom
12,8,350,160,4456,13.5,72,American,oldsmobile delta 88 royale
13,8,400,190,4422,12.5,72,American,chrysler newport royal
15,8,304,150,3892,12.5,72,American,amc matador (sw)
13,8,307,130,4098,14,72,American,chevrolet chevelle concours (sw)
13,8,302,140,4294,16,72,American,ford gran torino (sw)
14,8,318,150,4077,14,72,American,plymouth satellite custom (sw)
22,4,122,86,2395,16,72,American,ford pinto (sw)
28,4,98,80,2164,15,72,American,dodge colt (sw)
13,8,350,175,4100,13,73,American,buick century 350
14,8,304,150,3672,11.5,73,American,amc matador
13,8,350,145,3988,13,73,American,chevrolet malibu
14,8,302,137,4042,14.5,73,American,ford gran torino
15,8,318,150,3777,12.5,73,American,dodge coronet custom
12,8,429,198,4952,11.5,73,American,mercury marquis brougham
13,8,400,150,4464,12,73,American,chevrolet caprice classic
13,8,351,158,4363,13,73,American,ford ltd
14,8,318,150,4237,14.5,73,American,plymouth fury gran sedan
13,8,440,215,4735,11,73,American,chrysler new yorker brougham
12,8,455,225,4951,11,73,American,buick electra 225 custom
13,8,360,175,3821,11,73,American,amc ambassador brougham
18,6,225,105,3121,16.5,73,American,plymouth valiant
16,6,250,100,3278,18,73,American,chevrolet nova custom
18,6,232,100,2945,16,73,American,amc hornet
18,6,250,88,3021,16.5,73,American,ford maverick
23,6,198,95,2904,16,73,American,plymouth duster
11,8,400,150,4997,14,73,American,chevrolet impala
12,8,400,167,4906,12.5,73,American,ford country
13,8,360,170,4654,13,73,American,plymouth custom suburb
12,8,350,180,4499,12.5,73,American,oldsmobile vista cruiser
18,6,232,100,2789,15,73,American,amc gremlin
21,4,140,72,2401,19.5,73,American,chevrolet vega
19,4,122,85,2310,18.5,73,American,ford pinto
21,6,155,107,2472,14,73,American,mercury capri v6
15,8,350,145,4082,13,73,American,chevrolet monte carlo s
